ask,bid,due,emittent,ratio,strike,wkn,wkn_link,yr,yr2,yr4
2.36,2.32,15.03.2019,BNP Paribas,1.0,9.5,PP65PW,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/PP65PW,11.86,14.219999999999999,18.939999999999998

2.51,2.49,20.09.2019,DZ Bank AG,1.0,9.6,DD556W,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD556W,12.11,14.62,19.64

2.28,2.26,15.03.2019,DZ Bank AG,1.0,9.6,DD556U,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD556U,11.879999999999999,14.16,18.72

2.73,2.72,20.03.2020,DZ Bank AG,1.0,9.6,DD556Y,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD556Y,12.33,15.059999999999999,20.52

2.59,2.55,21.12.2018,BNP Paribas,1.0,9.0,PP65PS,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/PP65PS,11.59,14.18,19.36

2.22,2.18,18.12.2018,BNP Paribas,1.0,9.5,PP65PQ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/PP65PQ,11.72,13.940000000000001,18.380000000000003

2.22,2.18,21.12.2018,BNP Paribas,1.0,9.5,PP65PT,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/PP65PT,11.72,13.940000000000001,18.380000000000003

2.59,2.55,18.12.2018,BNP Paribas,1.0,9.0,PP65PP,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/PP65PP,11.59,14.18,19.36

2.34,2.33,18.12.2019,HypoVereinsbank/UniCredit,1.0,10.0,HX17PY,http://zertifikat.finanzen.nethttp://g.finanzen.net/hvb-ko-suche?produkt=/optionsscheine/Auf-Deutsche-Bank-AG/HX17PY,12.34,14.68,19.36

2.02,2.0,19.06.2019,HypoVereinsbank/UniCredit,1.0,10.2,HX17Q1,http://zertifikat.finanzen.nethttp://g.finanzen.net/hvb-ko-suche?produkt=/optionsscheine/Auf-Deutsche-Bank-AG/HX17Q1,12.219999999999999,14.239999999999998,18.28

2.4,2.38,21.06.2019,DZ Bank AG,1.0,9.6,DD556V,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD556V,12.0,14.399999999999999,19.2

2.13,2.11,19.06.2019,HypoVereinsbank/UniCredit,1.0,10.0,HX17Q0,http://zertifikat.finanzen.nethttp://g.finanzen.net/hvb-ko-suche?produkt=/optionsscheine/Auf-Deutsche-Bank-AG/HX17Q0,12.129999999999999,14.26,18.52

1.37,1.35,18.12.2019,HypoVereinsbank/UniCredit,1.0,12.2,HX06TE,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HX06TE,13.57,14.94,17.68

0.79,0.77,19.12.2018,HypoVereinsbank/UniCredit,1.0,12.2,HW4HJS,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HW4HJS,12.989999999999998,13.78,15.36

0.26,0.24,14.12.2022,HSBC,0.1,12.0,TR25TD,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TR25TD,14.6,17.2,22.4

2.71,2.67,15.03.2019,BNP Paribas,1.0,9.0,PP65PV,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/PP65PV,11.71,14.42,19.84

1.27,1.19,17.06.2019,CITI,1.0,12.0,CQ43RN,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ43RN,13.27,14.54,17.08

1.59,1.58,15.03.2019,DZ Bank AG,1.0,10.75,DD507M,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD507M,12.34,13.93,17.11

0.096,0.086,17.12.2018,UBS,0.1,11.8,UX3CD1,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UX3CD1,12.760000000000002,13.72,15.64

1.62,1.6,17.12.2018,CITI,1.1204,10.71,CX5QGM,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CX5QGM,12.155912174223493,13.601824348446984,16.493648696893967

1.1,1.01,13.03.2019,Deutsche Bank,1.0,12.0,DS1Y68,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DS1Y68,13.1,14.2,16.4

1.76,1.74,18.12.2019,HypoVereinsbank/UniCredit,1.0,11.2,HX0XM9,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HX0XM9,12.959999999999999,14.719999999999999,18.24

0.12,0.11,17.12.2018,UBS,0.1,11.2,UV6CN3,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6CN3,12.399999999999999,13.6,16.0

1.19,1.17,19.12.2018,HypoVereinsbank/UniCredit,1.0,11.2,HX11N7,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HX11N7,12.389999999999999,13.579999999999998,15.959999999999999

1.6,1.58,19.06.2019,HypoVereinsbank/UniCredit,1.0,11.0,HX11P9,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HX11P9,12.6,14.2,17.4

0.13,0.12,14.01.2019,UBS,0.1,11.2,UV526V,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV526V,12.5,13.799999999999999,16.4

0.13,0.11,19.12.2018,HSBC,0.1,11.5,TR25SQ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TR25SQ,12.8,14.1,16.7

1.37,1.35,19.06.2019,Morgan Stanley & Co. International plc,1.0,11.5,MF48GZ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/MF48GZ,12.870000000000001,14.24,16.98

0.11,0.1,11.03.2019,CITI,0.1,12.0,CQ43Q7,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ43Q7,13.1,14.2,16.4

1.41,1.4,21.12.2018,DZ Bank AG,1.0,10.75,DD5J5A,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD5J5A,12.16,13.57,16.39

0.12,0.11,11.02.2019,UBS,0.1,11.5,UV6SS4,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6SS4,12.7,13.9,16.3

1.25,1.21,15.03.2019,BNP Paribas,1.0,11.5,PP56DL,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/PP56DL,12.75,14.0,16.5

0.0,0.2,14.12.2020,UBS,0.1,11.5,UX3FV9,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UX3FV9,11.5,11.5,11.5

0.14,0.13,17.06.2019,UBS,0.1,11.5,UX3CCP,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UX3CCP,12.9,14.3,17.1

1.05,1.04,21.12.2018,DZ Bank AG,1.0,11.5,DD1VHR,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD1VHR,12.55,13.6,15.7

1.41,1.38,21.06.2019,Vontobel Financial Products GmbH,1.0,11.5,VL9R4K,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/VL9R4K,12.91,14.32,17.14

1.42,1.4,19.06.2019,HypoVereinsbank/UniCredit,1.0,11.4,HX04M8,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HX04M8,12.82,14.24,17.08

0.096,0.086,15.10.2018,UBS,0.1,11.4,UV5053,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5053,12.36,13.32,15.24

0.27,0.26,17.12.2018,CITI,0.112,9.2821,CX6ZYY,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CX6ZYY,11.692814285714286,14.103528571428573,18.924957142857146

0.11,0.1,14.01.2019,UBS,0.1,11.5,UV53E8,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV53E8,12.6,13.7,15.899999999999999

0.31,0.29,19.12.2018,HSBC,0.112,8.9251,TD6T96,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TD6T96,11.692957142857143,14.460814285714285,19.99652857142857

1.27,1.26,13.03.2019,HypoVereinsbank/UniCredit,1.0,11.4,HX11N4,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HX11N4,12.67,13.940000000000001,16.48

0.13,0.12,11.03.2019,UBS,0.1,11.4,UV6RMN,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6RMN,12.700000000000001,14.0,16.6

0.12,0.11,14.01.2019,UBS,0.1,11.4,UV537Y,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV537Y,12.6,13.8,16.2

1.1,1.08,19.12.2018,HypoVereinsbank/UniCredit,1.0,11.4,HX11N8,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HX11N8,12.5,13.600000000000001,15.8

0.11,0.1,17.12.2018,UBS,0.1,11.4,UV51V7,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV51V7,12.5,13.6,15.8

1.34,1.33,15.03.2019,DZ Bank AG,1.0,11.25,DD5TTU,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD5TTU,12.59,13.93,16.61

1.16,1.15,21.12.2018,DZ Bank AG,1.0,11.25,DD47AM,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD47AM,12.41,13.57,15.89

1.65,1.62,21.06.2019,Vontobel Financial Products GmbH,1.0,11.0,VL9S10,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/VL9S10,12.65,14.3,17.6

1.46,1.44,13.03.2019,HypoVereinsbank/UniCredit,1.0,11.0,HX15EN,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HX15EN,12.46,13.92,16.84

1.07,1.03,21.12.2018,BNP Paribas,1.0,11.5,PR92LX,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/PR92LX,12.57,13.64,15.780000000000001

0.0,0.0,14.12.2020,UBS,0.1,11.0,UV6FHV,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6FHV,11.0,11.0,11.0

0.0,0.18,15.06.2020,UBS,0.1,11.5,UX3FUX,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UX3FUX,11.5,11.5,11.5

0.1,0.094,12.11.2018,UBS,0.1,11.4,UV5278,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5278,12.4,13.4,15.4

1.67,1.65,18.12.2019,HypoVereinsbank/UniCredit,1.0,11.4,HX0XMA,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HX0XMA,13.07,14.74,18.08

0.12,0.11,11.02.2019,UBS,0.1,11.4,UV6Q0Y,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6Q0Y,12.6,13.8,16.2

0.16,0.15,13.05.2019,UBS,0.1,11.0,UV6RML,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6RML,12.6,14.2,17.4

1.33,1.29,21.12.2018,Commerzbank AG,1.0,11.0,CA01MX,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CA01MX,12.33,13.66,16.32

0.15,0.14,11.03.2019,UBS,0.1,11.0,UV6Q10,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6Q10,12.5,14.0,17.0

0.12,0.11,12.11.2018,UBS,0.1,11.0,UV504Q,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV504Q,12.2,13.4,15.8

1.85,1.83,18.12.2019,HypoVereinsbank/UniCredit,1.0,11.0,HX11P7,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HX11P7,12.85,14.7,18.4

1.29,1.27,19.12.2018,HypoVereinsbank/UniCredit,1.0,11.0,HX15EU,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HX15EU,12.29,13.58,16.16

0.13,0.127,21.12.2018,Goldman Sachs,0.1,11.0,GM0LSZ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/GM0LSZ,12.3,13.6,16.2

1.28,1.25,19.12.2018,Morgan Stanley & Co. International plc,1.0,11.0,MF4S52,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/MF4S52,12.28,13.56,16.12

0.24,0.22,16.12.2020,HSBC,0.1,11.0,TR25T9,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TR25T9,13.4,15.8,20.6

0.0,0.0,15.06.2020,UBS,0.1,11.0,UV6NMH,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6NMH,11.0,11.0,11.0

0.27,0.24,15.12.2021,HSBC,0.1,11.0,TR25TA,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TR25TA,13.7,16.4,21.8

0.17,0.13,21.12.2018,Société Générale S.A.,0.112,10.93,SE5TMJ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SE5TMJ,12.447857142857142,13.965714285714286,17.001428571428573

0.17,0.15,13.03.2019,HSBC,0.1,11.0,TR25SU,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TR25SU,12.7,14.4,17.8

0.15,0.13,19.12.2018,HSBC,0.1,11.0,TR25SP,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TR25SP,12.5,14.0,17.0

1.94,1.92,18.12.2019,HypoVereinsbank/UniCredit,1.0,10.8,HX11P6,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HX11P6,12.74,14.68,18.560000000000002

1.39,1.37,19.12.2018,HypoVereinsbank/UniCredit,1.0,10.8,HX15ET,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HX15ET,12.190000000000001,13.58,16.36

1.7,1.68,19.06.2019,HypoVereinsbank/UniCredit,1.0,10.8,HX11P8,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HX11P8,12.5,14.200000000000001,17.6

1.56,1.54,13.03.2019,HypoVereinsbank/UniCredit,1.0,10.8,HX15EM,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HX15EM,12.360000000000001,13.920000000000002,17.04

0.13,0.12,12.11.2018,UBS,0.1,10.8,UV5052,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5052,12.100000000000001,13.4,16.0

0.15,0.14,14.01.2019,UBS,0.1,10.8,UV52VY,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV52VY,12.3,13.8,16.8

0.13,0.12,15.10.2018,UBS,0.1,10.8,UV6ABX,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6ABX,12.100000000000001,13.4,16.0

1.51,1.49,19.06.2019,HypoVereinsbank/UniCredit,1.0,11.2,HX0XMB,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HX0XMB,12.709999999999999,14.219999999999999,17.24

0.14,0.13,11.03.2019,UBS,0.1,11.2,UV6KL3,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6KL3,12.6,14.0,16.8

0.13,0.12,11.02.2019,UBS,0.1,11.2,UV6JJY,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6JJY,12.5,13.799999999999999,16.4

0.11,0.1,12.11.2018,UBS,0.1,11.2,UV57ZG,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV57ZG,12.299999999999999,13.399999999999999,15.599999999999998

0.16,0.15,11.03.2019,UBS,0.1,10.8,UV6SRQ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6SRQ,12.4,14.0,17.2

0.14,0.13,17.12.2018,UBS,0.1,10.8,UV504P,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV504P,12.200000000000001,13.600000000000001,16.400000000000002

0.11,0.096,15.10.2018,UBS,0.1,11.2,UV54J5,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV54J5,12.299999999999999,13.399999999999999,15.599999999999998

0.14,0.13,17.12.2018,CITI,0.112,11.16,CX4XYN,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CX4XYN,12.41,13.66,16.16

1.74,1.73,20.09.2019,DZ Bank AG,1.0,11.0,DD6CJC,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD6CJC,12.74,14.48,17.96

1.46,1.45,15.03.2019,DZ Bank AG,1.0,11.0,DD6CJA,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD6CJA,12.46,13.92,16.84

0.22,0.2,17.06.2020,HSBC,0.1,11.0,TR25T8,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TR25T8,13.2,15.399999999999999,19.799999999999997

0.14,0.13,10.12.2018,UBS,0.112,11.16,UW172C,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW172C,12.41,13.66,16.16

1.61,1.6,21.06.2019,DZ Bank AG,1.0,11.0,DD6CJB,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD6CJB,12.61,14.22,17.44

1.5,1.47,15.03.2019,Vontobel Financial Products GmbH,1.0,11.0,VL9S19,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/VL9S19,12.5,14.0,17.0

0.15,0.14,11.02.2019,UBS,0.1,10.8,UV6KKD,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6KKD,12.3,13.8,16.8

1.28,1.27,21.12.2018,DZ Bank AG,1.0,11.0,DD6CH9,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD6CH9,12.28,13.56,16.12

